train_loss,val_loss,lr,mask_val_loss,regr_val_loss
6.478855,-1.0,0.001,-1.0,-1.0
5.9125085,-1.0,0.001,-1.0,-1.0
6.6775017,-1.0,0.001,-1.0,-1.0
4.864118,-1.0,0.001,-1.0,-1.0
5.095559,-1.0,0.001,-1.0,-1.0
6.7808194,-1.0,0.001,-1.0,-1.0
6.999246,-1.0,0.001,-1.0,-1.0
6.7766724,-1.0,0.001,-1.0,-1.0
4.742326,-1.0,0.001,-1.0,-1.0
7.9457088,-1.0,0.001,-1.0,-1.0
5.1172457,-1.0,0.001,-1.0,-1.0
4.095486,-1.0,0.001,-1.0,-1.0
6.206314,-1.0,0.001,-1.0,-1.0
4.4397526,-1.0,0.001,-1.0,-1.0
6.688131,-1.0,0.001,-1.0,-1.0
4.5883613,-1.0,0.001,-1.0,-1.0
5.9983425,-1.0,0.001,-1.0,-1.0
6.4016814,-1.0,0.001,-1.0,-1.0
6.5706296,-1.0,0.001,-1.0,-1.0
9.347979,-1.0,0.001,-1.0,-1.0
5.564461,-1.0,0.001,-1.0,-1.0
7.1123314,-1.0,0.001,-1.0,-1.0
6.619472,-1.0,0.001,-1.0,-1.0
6.4758835,-1.0,0.001,-1.0,-1.0
5.804783,-1.0,0.001,-1.0,-1.0
5.8398046,-1.0,0.001,-1.0,-1.0
5.375797,-1.0,0.001,-1.0,-1.0
7.5949116,-1.0,0.001,-1.0,-1.0
4.1746674,-1.0,0.001,-1.0,-1.0
4.8660464,-1.0,0.001,-1.0,-1.0
4.4633355,-1.0,0.001,-1.0,-1.0
6.268104,-1.0,0.001,-1.0,-1.0
4.585154,-1.0,0.001,-1.0,-1.0
6.8591056,-1.0,0.001,-1.0,-1.0
4.672989,-1.0,0.001,-1.0,-1.0
3.4783459,-1.0,0.001,-1.0,-1.0
5.9272976,-1.0,0.001,-1.0,-1.0
5.3045726,-1.0,0.001,-1.0,-1.0
7.613591,-1.0,0.001,-1.0,-1.0
4.678003,-1.0,0.001,-1.0,-1.0
5.644387,-1.0,0.001,-1.0,-1.0
7.683,-1.0,0.001,-1.0,-1.0
4.111697,-1.0,0.001,-1.0,-1.0
5.9560375,-1.0,0.001,-1.0,-1.0
6.1990123,-1.0,0.001,-1.0,-1.0
5.20522,-1.0,0.001,-1.0,-1.0
6.407806,-1.0,0.001,-1.0,-1.0
6.971666,-1.0,0.001,-1.0,-1.0
5.7176433,-1.0,0.001,-1.0,-1.0
6.546915,-1.0,0.001,-1.0,-1.0
5.714777,-1.0,0.001,-1.0,-1.0
5.587367,-1.0,0.001,-1.0,-1.0
5.8669963,-1.0,0.001,-1.0,-1.0
8.498313,-1.0,0.001,-1.0,-1.0
8.991797,-1.0,0.001,-1.0,-1.0
5.1854615,-1.0,0.001,-1.0,-1.0
8.876572,-1.0,0.001,-1.0,-1.0
6.266453,-1.0,0.001,-1.0,-1.0
5.015787,-1.0,0.001,-1.0,-1.0
9.323912,-1.0,0.001,-1.0,-1.0
5.496308,-1.0,0.001,-1.0,-1.0
6.6327295,-1.0,0.001,-1.0,-1.0
7.4528465,-1.0,0.001,-1.0,-1.0
7.0733595,-1.0,0.001,-1.0,-1.0
8.039646,-1.0,0.001,-1.0,-1.0
4.8063006,-1.0,0.001,-1.0,-1.0
6.313455,-1.0,0.001,-1.0,-1.0
7.199889,-1.0,0.001,-1.0,-1.0
6.0343766,-1.0,0.001,-1.0,-1.0
6.000508,-1.0,0.001,-1.0,-1.0
7.196906,-1.0,0.001,-1.0,-1.0
6.859977,-1.0,0.001,-1.0,-1.0
3.8949492,-1.0,0.001,-1.0,-1.0
5.3278427,-1.0,0.001,-1.0,-1.0
6.8943353,-1.0,0.001,-1.0,-1.0
5.622577,-1.0,0.001,-1.0,-1.0
5.4491024,-1.0,0.001,-1.0,-1.0
5.346741,-1.0,0.001,-1.0,-1.0
3.600652,-1.0,0.001,-1.0,-1.0
6.042334,-1.0,0.001,-1.0,-1.0
4.333773,-1.0,0.001,-1.0,-1.0
6.2376723,-1.0,0.001,-1.0,-1.0
4.927815,-1.0,0.001,-1.0,-1.0
3.4912398,-1.0,0.001,-1.0,-1.0
6.9097877,-1.0,0.001,-1.0,-1.0
4.4519715,-1.0,0.001,-1.0,-1.0
5.4985976,-1.0,0.001,-1.0,-1.0
7.1315613,-1.0,0.001,-1.0,-1.0
4.3709655,-1.0,0.001,-1.0,-1.0
5.266729,-1.0,0.001,-1.0,-1.0
6.799137,-1.0,0.001,-1.0,-1.0
3.824791,-1.0,0.001,-1.0,-1.0
5.596864,-1.0,0.001,-1.0,-1.0
4.0643444,-1.0,0.001,-1.0,-1.0
6.785555,-1.0,0.001,-1.0,-1.0
3.1676788,-1.0,0.001,-1.0,-1.0
5.9879155,-1.0,0.001,-1.0,-1.0
5.3591995,-1.0,0.001,-1.0,-1.0
4.9603024,-1.0,0.001,-1.0,-1.0
7.6520386,-1.0,0.001,-1.0,-1.0
6.7514744,-1.0,0.001,-1.0,-1.0
4.9267507,-1.0,0.001,-1.0,-1.0
5.048252,-1.0,0.001,-1.0,-1.0
7.250038,-1.0,0.001,-1.0,-1.0
6.181564,-1.0,0.001,-1.0,-1.0
4.785396,-1.0,0.001,-1.0,-1.0
5.446701,-1.0,0.001,-1.0,-1.0
4.699631,-1.0,0.001,-1.0,-1.0
3.15936,-1.0,0.001,-1.0,-1.0
5.3330774,-1.0,0.001,-1.0,-1.0
4.2333117,-1.0,0.001,-1.0,-1.0
5.1384416,-1.0,0.001,-1.0,-1.0
8.3181305,-1.0,0.001,-1.0,-1.0
6.88449,-1.0,0.001,-1.0,-1.0
5.8715544,-1.0,0.001,-1.0,-1.0
